koi_fpflag_co,koi_time0,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_smet,ra,dec,koi_fwm_sdec,koi_fwm_srao,koi_fittype_ls,koi_fittype_lsmcmc,koi_fittype_mcmc,koi_disposition
1.0,2454973.655,1.018,5.9885,36348.0,0.34879,56.44,0.1206,86.38,932.0,177.96,16.12,0.2678,154.6,1.0,1.0,-0.04,293.92599,38.73798,38.7388287,-1.9592,0.0,1.0,0.0,1
0.0,2454996.016,0.663,11.1711,18848.0,0.16352,11.36,0.1894,88.26,459.0,10.49,21.884,0.1646,882.6,1.0,1.0,-0.16,286.86926,39.103729,39.1037037,-0.042,0.0,1.0,0.0,1
0.0,2454966.112,1.224,2.0141,2779.3,0.18359,33.65,0.0146,40.22,2090.0,4500.59,1.603,0.2193,195.2,1.0,2.0,0.26,291.99988,38.437698,43.62016938,-0.17156470588235292,0.0,1.0,0.0,1
0.0,2455094.437,1.203,7.012,1349.1,0.02376,430.99,0.0234,24.35,4903.0,136609.48,1.32,0.0445,76.7,1.0,1.0,0.0,292.71964,48.852016,48.852218,-0.83,0.0,1.0,0.0,1
0.0,2455095.467,1.228,24.249,867.5,0.00046,71.39,0.1539,53.41,1139.0,397.48,2.06,0.3036,249.3,1.0,1.0,-0.28,284.02679,49.415428,49.415307,-0.288,0.0,1.0,0.0,1
0.0,2455095.728,1.187,3.2797,625.6,0.03017,2436.69,0.062,67.59,6421.0,401588.95,3.11,-0.1206,56.3,1.0,1.0,0.0,298.80411,40.843563,40.843599,0.425,0.0,1.0,0.0,1
0.0,2455012.096,1.272,2.6897,2144.4,0.96115,68.02,0.3108,88.51,905.0,158.41,48.9,0.2803,221.1,1.0,1.0,-0.18,295.59872,50.720669,50.720679,0.511,0.0,1.0,0.0,1
0.0,2455094.724,0.0303,3.686,32.8,0.68781,2.98,0.0548,89.95,2203.0,5563.95,8.34,0.2034,6.1,1.0,1.6,-0.33,283.73642,44.71331,43.967267635294114,2.086811764705883,0.0,0.0,1.0,1
0.0,2454999.261,0.67,3.198,447.8,5.0679,2.39,0.2309,89.52,554.0,22.21,79.3,0.2787,11.8,4.0,4.0,-0.28,290.51047,41.24482,41.24491,0.3,0.0,1.0,0.0,0
0.0,2454982.763,0.014,4.6142,414.5,2.35284,2.48,0.1749,89.98,695.0,55.1,43.73,0.2844,42.2,2.0,1.0,0.06,291.97617,38.05508,38.05473,0.03,0.0,1.0,0.0,0
1.0,2454972.797,1.195,2.926,400.9,0.03036,25.2,0.071,73.88,986.0,223.84,4.3,0.2622,24.0,1.0,1.0,0.0,290.13492,38.404221,38.40411,-1.64,0.0,1.0,0.0,1
0.0,2454969.32,0.091,6.0175,270.6,0.52036,2.03,0.1071,89.69,866.0,132.94,16.683,0.2678,38.7,1.0,1.0,0.0,291.42358,38.216591,38.21656,0.39,0.0,1.0,0.0,0
1.0,2454966.101,0.937,4.211,4843.9,0.20239,8.96,0.0998,85.1,853.0,125.21,10.975,0.2889,115.3,1.0,1.0,-0.1,295.29193,38.964588,38.962583,-7.82,0.0,1.0,0.0,1
1.0,2454967.659,0.943,3.5734,1916.2,0.05039,5.09,0.0306,63.89,1392.0,884.12,2.1435,0.2602,103.4,1.0,1.0,0.07,291.44507,38.637211,38.655831,17.866,0.0,1.0,0.0,1
1.0,2454967.184,1.253,1.8592,2547.4,0.21187,19.0,0.0119,40.74,1177.0,451.42,1.654,0.2238,182.2,1.0,1.0,-0.1,285.08026,39.18211,39.207254,-2.46,0.0,1.0,0.0,1
1.0,2454989.35,1.298,23.546,3414.4,0.0029,34.14,0.2751,80.42,434.0,8.38,7.8,0.2396,103.4,1.0,1.0,-0.12,294.74054,39.015511,39.014881,1.3,0.0,1.0,0.0,1
0.0,2454991.745,0.065,8.6388,2894.1,0.78307,7.14,0.2822,89.92,592.0,29.07,48.249,0.305,243.5,4.0,1.0,-0.04,300.51712,44.38158,44.381603,0.651,0.0,1.0,0.0,0
0.0,2455099.048,0.9848,7.694,780.4,0.00619,7.41,0.0853,67.61,1482.0,1141.57,2.56,0.3405,24.2,2.0,1.6235294117647059,0.07,289.87411,49.68549,44.07466202352941,-0.24001176470588226,0.0,0.0,1.0,1
0.0,2454994.714,0.015,7.158,445.9,1.84961,1.75,0.329,89.99,372.0,4.53,82.69,0.1959,17.4,2.0,2.0,0.0,291.92596,38.014118,38.01398,1.74,0.0,1.0,0.0,0
